id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
672,The Miseducation of Lisa Simpson,"The sea captain finds treasure for which he's been searching for 40 years, but City Hall claims it since it was in city limits. Marge convinces the townspeople to use the windfall to build a STEM school. Homer crusades against automation.    ",2020-02-16,ZABF06,Matthew Nastuk,J. Stewart Burns,31,12,674,1.95,6.5,5.4,8
673,Frinkcoin,"Professor Frink invents a cryptocurrency that makes him the richest man in Springfield, a title Mr. Burns has no intention of giving up.    ",2020-02-23,ZABF07,Steven Dean Moore,Rob LaZebnik,31,13,675,1.84,6.0,5.4,8
674,Bart the Bad Guy,"Bart uses spoilers for a superhero movie he saw to get what he wants, but two movie executives will stop at nothing to keep his knowledge secret.    ",2020-03-01,ZABF08,Jennifer Moeller,Dan Vebber,31,14,676,1.66,7.2,6.2,5
675,Screenless,"Marge implements a limit on screen time for the whole family, only to realize she's the one addicted to screens.    ",2020-03-08,ZABF09,Mike Frank Polcino,J. Stewart Burns,31,15,677,1.63,6.5,4.6,5
676,Better Off Ned,"Jealous of Bart's bond with Ned, Homer mentors Nelson in retaliation, but an act of heroism helps Homer to regain Bart's respect.    ",2020-03-15,ZABF11,Rob Oliver,Story by : Al JeanTeleplay by : Joel H. Cohen & Jeff Westbrook,31,16,678,1.70,6.4,4.4,5
677,Highway to Well,Marge gets a job at an upscale cannabis dispensary leading Homer to open a competing business that replicates the scuzzy days of scoring weed from and old-school pot connection.    ,2020-03-22,ZABF10,Chris Clements,Carolyn Omine,31,17,679,1.66,6.9,5.5,4
678,The Incredible Lightness of Being a Baby,"Maggie reunites with baby Hudson, but Marge isn't too crazy about his mom. Homer befriends Cletus Spuckler who recently discovered a vast underground reserve of helium gas on his property, attracting unwanted attention from Mr. Burns.    ",2020-04-19,YABF13,Bob Anderson,Tom Gammill & Max Pross,31,18,680,1.58,6.4,6.4,5
679,"Warrin' Priests"" (Parts One and Two) ",Reverend Lovejoy investigates the mysterious past of a new priest who's come to town and shaken things up at church.    ,2020-04-26,ZABF12,Bob Anderson,Pete Holmes,31,19,681,1.35,6.1,5.0,4
680,The Hateful Eight-Year-Olds,"In Michigan, Reverend Lovejoy learns the true reason why Bode came to Springfield and the congregation must decide whether to banish their new priest.    ",2020-05-10,ZABF14,Jennifer Moeller,Joel H. Cohen,31,21,683,1.40,5.8,5.8,4
681,The Way of the Dog,Lisa joins a group of rich girls when she makes a friend who loves horses; Homer takes Marge on a romantic cruise.    ,2020-05-17,ZABF16,Matthew Faughnan,Carolyn Omine,31,22,684,1.89,6.5,5.9,7
682,Undercover Burns,"Mr. Burns goes undercover at the power plant as an employee named Fred and befriends Homer and the gang, but a jealous Smithers plots to bring the old Burns back.    ",2020-09-27,ZABF19,Bob Anderson,David Cryan,32,1,685,4.44,6.5,5.9,10
683,"I, Carumbus","At a museum exhibit of Ancient Rome, Marge and Homer imagine themselves in Rome where Homer is more ambitious.    ",2020-10-04,ZABF18,Rob Oliver,Cesar Mazariegos,32,2,686,1.51,6.8,6.3,9
684,"Now Museum, Now You Don't",Lisa stays home from school and fantasizes about the history of Western art.    ,2020-10-11,ZABF21,Timothy Bailey,Dan Greaney,32,3,687,1.36,5.8,6.1,7
685,Treehouse of Horror XXXI,"The 31st annual Simpsons Halloween special includes a frightening look at the 2020 election, parodies of Pixar and Spider-Man: Into the Spider-Verse and a ninth birthday Lisa just can't get over.    ",2020-11-01,ZABF17,Steven Dean Moore,Julia Prescott,32,4,688,4.93,6.3,5.6,8
686,The 7 Beer Itch,Homer is tempted by a British femme fatale while Marge and the kids are on a seaside vacation.    ,2020-11-08,ZABF15,Mike Frank Polcino,Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink,32,5,689,1.74,5.7,5.4,7
687,Podcast News,"Grampa is accused of a crime, while Kent Brockman questions his career.    ",2020-11-15,ZABF22,Matthew Faughnan,David X. Cohen,32,6,690,3.50,6.7,6.6,7
688,Three Dreams Denied,"Bart becomes a voice over actor, Comic Book Guy is humiliated at Comic-Con and Lisa is set up for a fall.    ",2020-11-22,QABF02,Steven Dean Moore,Danielle Weisberg,32,7,691,4.41,6.3,5.7,6
689,The Road to Cincinnati,Skinner and Chalmers take an 800-mile car ride to an administrator's convention in Cincinnati.    ,2020-11-29,ZABF20,Matthew Nastuk,Jeff Westbrook,32,8,692,1.63,6.6,6.2,6
690,Sorry Not Sorry,"Lisa calls Ms. Hoover a hack and refuses to apologize, then learns her private pain.    ",2020-12-06,QABF01,Rob Oliver,Nell Scovell,32,9,693,1.66,6.3,5.3,7
691,A Springfield Summer Christmas for Christmas,A cable channel films a Christmas movie in Springfield and Skinner falls in love.    ,2020-12-13,QABF03,Timothy Bailey,Jessica Conrad,32,10,694,3.92,6.3,5.0,4
692,The Dad-Feelings Limited,The origin story of Comic Book Guy is revealed as he and Kumiko debate having a baby.    ,2021-01-03,QABF04,Chris Clements,Ryan Koh,32,11,695,1.89,7.1,5.5,4
693,Diary Queen,"Bart learns a surprising secret when he finds Mrs. Krabappel's diary at a yard sale, while Lisa discovers an even bigger surprise.    ",2021-02-21,QABF05,Matthew Nastuk,Jeff Westbrook,32,12,696,1.43,6.9,5.8,5
694,Wad Goals,"Bart becomes a successful caddy, but Marge thinks it may ruin his character.    ",2021-02-28,QABF06,Mike Frank Polcino,Brian Kelley,32,13,697,1.24,6.3,5.6,5
695,Yokel Hero,"Cletus becomes a singing sensation and ruins everything when he turns on his fans, while Homer becomes a new man.    ",2021-03-07,QABF07,Rob Oliver,Jeff Martin & Samantha Martin,32,14,698,1.38,5.6,4.8,6
696,Do Pizza Bots Dream of Electric Guitars,"Homer tries to reunite a mechanical band from his youth, but J.J. Abrams beats him to it.    ",2021-03-14,QABF08,Jennifer Moeller,Michael Price,32,15,699,1.43,5.9,4.6,5
697,Manger Things,A secret from Flanders' past and a never-before-seen room in the Simpson home are revealed.    ,2021-03-21,QABF09,Steven Dean Moore,Rob LaZebnik,32,16,700,1.28,6.4,5.5,4
698,Uncut Femmes,Sarah Wiggum is more than she seems; Marge participates in a jewel heist.    ,2021-03-28,QABF10,Chris Clements,Christine Nangle,32,17,701,1.22,6.5,4.7,6
699,Burger Kings,"Mr. Burns joins the plant-based burger business, convincing Lisa that he's changed for the better.    ",2021-04-11,QABF11,Lance Kramer,Rob LaZebnik,32,18,702,1.24,6.7,5.2,4
700,Panic on the Streets of Springfield,Lisa's imaginary friend is a depressed British singer from the 1980s; Homer becomes a truck guy.    ,2021-04-18,QABF12,Matthew Nastuk,Tim Long,32,19,703,1.31,6.3,5.4,5
701,Mother and Child Reunion,"In the future, Lisa makes a shocking college decision that hurts Marge, leading to a surprising place.    ",2021-05-09,QABF14,Jennifer Moeller,J. Stewart Burns,32,20,704,1.11,6.7,5.5,4
702,The Man from G.R.A.M.P.A.,A British secret agent comes to Springfield to find a Russian spy.    ,2021-05-16,QABF13,Mike Frank Polcino,Carolyn Omine,32,21,705,1.06,6.3,5.2,4
703,The Last Barfighter,A secret society of bartenders seeks revenge on Homer and his friends when Moe breaks their most sacred rule.    ,2021-05-23,QABF15,Timothy Bailey,Dan Vebber,32,22,706,1.02,7.4,5.8,8
704,The Star of the Backstage,"Marge stages a revival of a musical from high school, but her pleasant memories are threatened by the return of her old rival.    ",2021-09-26,QABF17,Rob Oliver,Elisabeth Kiernan Averick,33,1,707,3.48,4.4,5.0,5
705,Bart's in Jail!,"When Grandpa falls victim to a phone scam, the Simpsons set out to get his money back.    ",2021-10-03,QABF18,Steven Dean Moore,Nick Dahan,33,2,708,1.48,7.0,6.8,6
706,Treehouse of Horror XXXII,"The 32nd annual Simpsons Halloween special includes a spoof of ""Parasite"" and a segment where Bambi gets his revenge.    ",2021-10-10,QABF16,Matthew Faughnan,John Frink,33,3,709,3.94,6.7,5.8,6
707,The Wayz We Were,Moe is faced with a difficult choice when Evergreen Terrace develops a traffic problem.    ,2021-10-17,QABF19,Matthew Nastuk,Joel H. Cohen,33,4,710,1.51,6.8,5.8,5
708,Lisa's Belly,Lisa reacts to a hurtful word spoken by Marge while Bart gets swole.    ,2021-10-24,QABF20,Timothy Bailey,Juliet Kaufman,33,5,711,1.83,6.8,3.3,3
709,"A Serious Flanders"" (Parts 1 & 2) ",Homer and Ned get sucked into the violent world of prestige TV when a ruthless debt collector comes to Springfield.    ,2021-11-07,QABF21,Debbie Bruce Mahan,Cesar Mazariegos,33,6,712,3.47,8.2,5.8,4
710,Portrait of a Lackey on Fire,Things go from bad to worse for Homer and Ned.    ,2021-11-21,UABF01,Steven Dean Moore,Rob LaZebnik & Johnny LaZebnik,33,8,714,3.97,8.2,5.0,4
711,Mothers and Other Strangers,"Smithers finds true love with a famous fashion designer, but this new relationship may destroy Springfield.    ",2021-11-28,UABF02,Rob Oliver,Al Jean,33,9,715,3.61,6.2,4.3,3
712,A Made Maggie,"In a flashback to his teen years, Homer goes on a road trip with his father to search for his mother.    ",2021-12-19,UABF03,Timothy Bailey,Elisabeth Kiernan Averick,33,10,716,3.90,6.3,5.0,3
713,The Longest Marge,Fat Tony becomes Maggie's godfather.    ,2022-01-02,UABF05,Matthew Nastuk,Brian Kelley,33,11,717,2.02,6.9,3.3,3
714,Pixelated and Afraid,Marge battles Mr. Burns for the soul of a brash young football prodigy.    ,2022-02-27,UABF04,Chris Clements,John Frink,33,12,718,1.41,5.8,5.0,3
715,Boyz N the Highlands,Homer and Marge must push themselves to their limits when they get lost in an icy wilderness.    ,2022-03-06,UABF06,Bob Anderson,Dan Vebber,33,13,719,1.53,7.7,4.3,3
716,You Won't Believe What This Episode Is About – Act Three Will Shock You!,"Bart, Martin and the bullies run for their lives when a weekend in the wilderness takes a dark turn.    ",2022-03-13,UABF07,Jennifer Moeller,Christine Nangle,33,14,720,1.14,6.7,4.7,3
717,Bart the Cool Kid,Homer becomes a pariah when footage of him allegedly leaving Santa's Little Helper in a hot car goes viral.    ,2022-03-20,UABF08,Steven Dean Moore,Ryan Koh,33,15,721,1.04,6.5,5.0,3
718,Pretty Whittle Liar,Homer leads a rebellion of loser dads against the friendship between Bart and a famous kid influencer.    ,2022-03-27,UABF09,Mike Frank Polcino,Joel H. Cohen,33,16,722,1.10,6.4,4.7,3
719,The Sound of Bleeding Gums,Cletus feels betrayed when he learns that Brandine can read.    ,2022-04-10,UABF10,Chris Clements,Loni Steele Sosthand,33,17,723,0.95,6.2,5.0,3
720,My Octopus and a Teacher,Lisa meets the son of the late Bleeding Gums Murphy and tries to improve his life.    ,2022-04-24,UABF11,Rob Oliver,Carolyn Omine,33,18,724,0.97,5.9,5.3,3
721,Girls Just Shauna Have Fun,Bart has romantic feelings for his new teacher; Lisa befriends an octopus.    ,2022-05-01,UABF12,Matthew Nastuk,Jeff Westbrook,33,19,725,1.03,6.6,4.7,3
722,Marge the Meanie,Lisa finds an unlikely mentor in Shauna Chalmers when she joins the high school marching band; Homer becomes a craft beer brewer.    ,2022-05-08,UABF15,Timothy Bailey,Megan Amram,33,20,726,0.85,6.6,5.0,3
723,Meat Is Murder,"Marge bonds with Bart when she discovers a secret from her past, terrifying Homer.    ",2022-05-15,UABF13,Bob Anderson,Michael Price,33,21,727,1.00,6.7,4.3,3
724,Poorhouse Rock,Grampa reconnects with an old associate in the hamburger business.    ,2022-05-22,UABF14,Jennifer Moeller,Tim Long,33,22,728,0.93,6.0,4.7,3
725,Habeas Tortoise,"After humiliating himself at a town meeting, Homer looks for acceptance in an internet group on the hunt for a missing tortoise and finds something much more sinister.    ",2022-09-25,UABF16,Matthew Faughnan,Broti Gupta,34,1,729,4.15,6.5,8.3,3
726,One Angry Lisa,"Lisa gets called for jury duty, while Marge becomes obsessed with her exercise bike.    ",2022-10-02,UABF19,Matthew Nastuk,Jessica Conrad,34,2,730,1.46,6.3,4.3,3
727,Lisa the Boy Scout,The show is hijacked by cyber terrorists.    ,2022-10-09,UABF21,Timothy Bailey,Dan Greaney,34,3,731,3.43,6.6,7.3,3
728,The King of Nice,"Marge gets a job as a segment producer on Krusty's new talk show, which she soon realizes is a never-ending nightmare.    ",2022-10-16,UABF20,Debbie Bruce Mahan,Jessica Conrad,34,4,732,1.16,6.5,5.3,3
729,Not It,"Young Homer and his friends are terrorized by a killer clown in a special Treehouse of Horror presentation spoofing Stephen King's ""It"".    ",2022-10-23,UABF17,Steven Dean Moore,Cesar Mazariegos,34,5,733,3.63,7.5,5.7,3
730,Treehouse of Horror XXXIII,"In the 33rd annual Halloween special, Marge's resentment takes a monstrous form, Lisa tries to save the planet through murder, and Homer realizes that he's not the man he thought he was.    ",2022-10-30,UABF18,Rob Oliver,Carolyn Omine & Ryan Koh & Matt Selman,34,6,734,3.95,8.3,7.8,4
731,From Beer to Paternity,Homer and Duffman go on a road trip with Lisa that threatens to expose Homer's bad parenting after he becomes Duffman's girl-dad hero.    ,2022-11-13,OABF01,Rob Oliver,Christine Nangle,34,7,735,4.77,6.4,6.7,3
732,Step Brother from the Same Planet,Homer is filled with rage and resentment when Grampa becomes a stepfather to his girlfriend's son; Lisa and Bart throw the ultimate slumber party.    ,2022-11-20,UABF22,Matthew Faughnan,Dan Vebber,34,8,736,1.21,6.5,7.3,3
733,When Nelson Met Lisa,Lisa and Nelson become an unlikely couple in the future.    ,2022-11-27,OABF02,Steven Dean Moore,Ryan Koh,34,9,737,1.53,5.9,6.0,3
734,Game Done Changed,Bart ropes Principal Skinner into his scheme to make off a glitch in an online game; Marge and Maggie discover paradise.    ,2022-12-04,OABF03,Timothy Bailey,Ryan Koh,34,10,738,1.16,6.6,7.7,3
735,Top Goon,Moe coaches Bart's hockey team and recruits the world's greatest brawlers to teach Nelson the art of hockey goonery.    ,2022-12-11,OABF04,Chris Clements,Joel H. Cohen,34,11,739,3.42,6.8,4.0,2
736,My Life as a Vlog,The rise and fall of the Simpson Family Vlog is told through a series of recommended YouTube videos.    ,2023-01-01,OABF05,Debbie Bruce Mahan,Jessica Conrad,34,12,740,1.02,5.9,6.3,3
737,The Many Saints of Springfield,Ned goes into business with the Springfield mafia.    ,2023-02-19,OABF06,Bob Anderson,Al Jean,34,13,741,1.37,6.5,6.7,3
738,Carl Carlson Rides Again,Carl discovers the origins of a mysterious rodeo buckle tied to his identity when he's smitten with a beautiful black woman.    ,2023-02-26,OABF07,Mike Frank Polcino,Loni Steele Sosthand,34,14,742,1.18,6.1,7.0,3
739,Bartless,Homer and Marge imagine a world where Bart isn't a Simpson after his latest prank causes chaos at Springfield Elementary.    ,2023-03-05,OABF08,Rob Oliver,John Frink,34,15,743,0.93,6.7,7.2,4
740,Hostile Kirk Place,Kirk goes on a crusade to censor and control the school curriculum in response to a history lesson that paints one of his ancestors in a bad light and Homer comes along for fun and profit.    ,2023-03-12,OABF09,Steven Dean Moore,Michael Price,34,16,744,0.77,6.0,6.5,4
741,Pin Gal,Jacques returns to coach Marge for a bowling tournament.    ,2023-03-19,OABF10,Chris Clements,Jeff Westbrook,34,17,745,0.86,6.4,5.5,4
742,Fan-ily Feud,Homer publicly disparages a pop singer and faces the wrath of her vengeful fans.    ,2023-04-23,OABF11,Timothy Bailey,Broti Gupta,34,18,746,1.00,5.2,4.5,2
743,Write Off This Episode,Marge is seduced by the money and prestige of Big Charity fundraising when she and Lisa launch a charity together.    ,2023-04-30,OABF12,Matthew Nastuk,J. Stewart Burns,34,19,747,0.89,5.8,6.5,2
744,The Very Hungry Caterpillars,The Simpsons are forced to spend time with each other in lockdown when a plague of insects shuts down Springfield.    ,2023-05-07,OABF14,Gabriel DeFrancesco,Brian Kelley,34,20,748,0.82,6.7,6.0,2
